Yeah ||| Neutral
I appreciate if you could turn to slide 4. We continue to see broad based strength in orders across our segments as well as balanced order growth across regions which reinforces expectations for a higher growth versus our prior view ||| sales Positive Confident

Thanks, Dave, and good afternoon everyone ||| Neutral

Its going to be in container architecture ||| Neutral

So it's a long time for brands to be announced that they would have been sold, but to still be in the hands of their previous owners ||| products_services Neutral Confident

Next, I think across every service the momentum weve seen in Q4 and in particular, I would say, I think not many people focus on it, but even things like Windows E5, advanced threat protection services, those types of deployments really will add to momentum in our offerings ||| products_services Neutral Uncertain

While APAC contributed 15% of revenue, reflecting year-over-year growth of 16% ||| sales Positive Confident

Question-and-Answer Session ||| Neutral

Don't ask questions again, man ||| Neutral

In the Medicare business, our core gross margin performance was in line with expectations ||| earnings Positive Confident

These proceeds offset much of the yen-related decline in display's earnings ||| earnings Negative

I'm going to hand over to Agnes ||| Neutral Confident

Our trillions of content and data assets, along with our deep category expertise in the markets we serve, give Adobe Sensei a unique ability to help customers tackle complex experience challenges ||| Neutral

Yes ||| Neutral

Let me give you a quick summary of our capital deployment activities so far this year ||| Neutral

And we learned through the rollout  our innovative SKIPPY PB bites items, that once you get past Halloween, there are some seasonality, downturn in the confectionary business ||| products_services Negative Confident

And we're still on the very early innings ||| Neutral

Those investments are probably going to extend beyond 2017. And so I think the interim model for the company, not the long-term model, I think, the interim model for the company is going to be the high 30s ||| organic_expansion Neutral Uncertain

So we havent kind of past so ||| Neutral

The Q3 effective tax rate was 29.9% ||| Neutral

Yeah ||| Neutral

Income taxes ||| op_costs Neutral

And the magic to me is the fact that we did placed more systems in 2017 than we did in 2016. And it's too early to fully predict an attach rate, but we think it will be very high ||| products_services Positive Uncertain

Second, our commercial business, we expect our commercial cloud services to continue to drive annuity growth as we expand our install base, grow consumption, and execute well on renewals ||| products_services Positive Confident

But this is a big strategic initiative within the company ||| Neutral

Yes, I'll  good morning, Garen, I'll start and Steve can jump in ||| Positive Confident

Turning to slide 18, for 2017, we are reiterating our organic revenue growth rates and revising consolidated and segment revenue dollar ranges due to the divestiture ||| sales,organic_expansion Positive Confident

, where we are seeing increasing pressure from government payers as part of austerity measures ||| Neutral

Turning to the balance sheet ||| Neutral

Across our platform, each of our business segments benefits from the overall improvement in the market ||| sales Positive

We think off of this new base we start to go to more normal growth rates again ||| sales Neutral Uncertain

They have to get into the field ||| Neutral

But, clearly, our new business bookings have fallen a little bit behind, but relative to a three- or four-year cycle of new business bookings, we still feel good about our growth opportunities ||| sales Neutral Uncertain
